心	heart
无表情的	expressionless
眼球上翻	rolleyes
做爱时很痴的表情	fucked silly
下流的表情	naughty face
忍耐的表情	endured face
看着你	looking at viewer
	
	
	
尖耳朵	pointy ears
动物耳朵	animal ears
猫耳	cat ears
兔耳	rabbit ears
狐耳	fox ears
狗耳	dog ears
马耳	horse ears
机器人耳	robot ears
耳环	earrings
耳机	headphones
	
头顶光环	halo
帽子	hat
贝雷帽	beret
兜帽	hood
护士帽	nurse cap
三重冕	tiara
皇冠	crown
发卡	hairband
发夹	hairclip
发带s	hairband
发花	hair flower
头饰	hair ornament
蝴蝶结s	bow
蝴蝶结发饰	hair bow
女仆头饰	maid headdress
服装饰品/头部饰品	bow
花边	lace
丝带s	ribbon
绷带	bandage
眼镜s	glasses
太阳镜	sunglasses
风镜	goggles
眼罩	blindfold
独眼眼罩	eyepatch
面具/眼罩/口罩	mask
耳环	earrings
首饰	jewelry
项圈	collar
铃铛	bell
领结	bootie
分离式领	detached collar
颈带	ribbon choker
项链	necklace
围巾	scarf
领带	necktie/tie
臂章	armband
臂环	armlet
腕带	wristband
锁链	chains
腕饰	wrist cuffs
金眼	yellow eyes
粉红眼	pink eyes
灰眼	grey eyes
橙眼	orange eyes
棕眼	brown eyes
黑眼	black eyes
紫眼	purple eyes
红眼	red eyes
蓝眼	blue eyes
绿眼	green eyes
猫眼	slit pupils
失去高光	empty eyes
爱心形瞳孔	heart-shaped pupils
异色瞳	heterochromia
星星形瞳孔	star-shaped pupils
黑色巩膜	black sclera
愉快	cheerful
抬头看你	upturned eyes
模糊	blur
等级明确的	rating is explicit
效果	effect
非常精细	highly detailed
名作	masterpiece
水手服	sailor dress
学生服	school uniform
兔女郎	bunny girl
晚礼服	evening gown
紧身衣	bodysuit
全身丝	bodystocking
泳装	swimsuit
连体式泳装s	one-piece swimsuit
学校泳装	japanese school swimsuit
比基尼s	bikini
修女	nun
护士	nurse
和服	japanese clothes
旗袍	china dress
连衣裙	dress
女仆装	maid
西装	suit
哥特洛丽塔	gothic lolita
睡衣	pajamas
内衣	underwear
啦啦队	cheerleader
赛车女郎	race queen
女警	policewoman
偶像服	idol clothes
服务员	waitress
巫女	miko
婚纱	Wedding dress
裸体	nude
	
	
	
	
	
	
	
	
	
裸体	nude
一个女性	1girl
二个女性	2girls
三个女性	3girls
四个女性	4girls
五个女性	5girls
六个以上女性	6+girls
长发	long hair
短发	short hair
双马尾	twintails
超长发	very long hair
马尾	ponytail
辫子	braid
极长发	absurdly long hair
耳前发	sidelocks
齐肩发	medium hair
双辫子	twin braids
侧马尾	side ponytail
双包子	double bun
高马尾	high ponytail
头巾	headband
短双马尾	short twintails
低双马尾	low twintails
钻头发	drill hair

双钻	twin drills
单包子	single hair bun
妹妹头	bob cut
脸两侧发	hair intakes
末端收束长发	low-tied long hair
发环	hair rings
半长	semi-long
刘海	bangs
钝刘海	blunt bangs
染色刘海	dyed bangs
分叉刘海	swept bangs
对称刘海	parted bangs
遮双眼刘海	hair over eyes
遮单眼刘海	hair over one eye
多色头发	multicolored hair,two-tone
减变色头发	gradient hair
彩色内发	colored inner hair
呆毛	ahoge
卷发	curly hair
两侧的翘发	hair flaps
乱糟糟发	messy hair
波浪发	wavy hair
手套s	gloves
过肘手套	elbow gloves
露指手套	fingerless gloves
猫爪	cat paws
独立手腕袖口	wrist cuffs
腕带	wristband
指甲s	nails
戒指	ring
手镯	bracelet
臂环	armlet
肚脐	navel
大腿	thighs
乳沟	cleavage
锁骨	collarbone
腋窝	armpits
脖子	neck
露肩	bare shoulders
露背	bare back
屁股	ass
腿	legs
足	feet
大腿间隙	thigh gap
骆驼趾	cameltoe
平胸	flat chest
小乳房	small breasts
中等乳房	medium breasts
大乳房	large breasts
巨大的乳房	huge breasts
超大的乳房	gigantic breasts
	
丰满的乳房	perky breasts
尖尖的乳房	pointy breasts
乳房下垂	sagging breasts
	
乳头	nipples
背乳	backboob
侧乳	sideboob
南半球	underboob
乳晕露出	areola slip
乳头露出	nipple slip
乳房分开	breasts apart
乳房露出	breasts out
弹跳的乳房	bouncing breasts
垂着的乳房	hanging breasts
抓住乳房	breast grab
手臂支撑乳房	breast hold
手托乳房	breast lift
抓自己的乳房	grabbing own breast
乳房按压	breast press
乳房搁置	breast rest
乳房挤压	breast squeeze
手伏在乳房上	breast suppress
吸吮乳房	breast sucking
遮住乳房	covering breasts
	
	
黑皮肤	Dark skin
蓝色皮肤	Blue skin
褐色皮肤	Tan
晒痕的皮肤	Tanlines
紫色皮肤	Purple skin
纯黑皮肤	Black skin
苍白的肤色	Pale skin
绿色皮肤	Green skin
灰色皮肤	Grey skin
橙色皮肤	Orange skin
粉红色的皮肤	Pink skin
红皮	Red skin
白皮肤	White skin
黄色皮肤	Yellow skin
	
眼神接触	eye contact
远眺	looking afar
看着另一个	looking at another
看着乳房	looking at breasts
看着手	looking at hand
看着镜子	looking at mirror
看着手机	looking at phone
看着观众	looking at viewer
看向别处	looking away
回头看	looking back
往下看	looking down
向外看	looking outside
看着眼镜	looking over eyewear
通过腿看	looking through legs
看向一边	looking to the side
抬头看	looking up
	
	
	
	
	
	
	
	
	
	
	
	
	
胸罩s	bra
粘合文胸	adhesive bra
胸带	beltbra
抹胸	bandeau
蝴蝶结文胸	bow bra
无桥文胸	bridgeless bra
无杯文胸	cupless bra
褶边文胸	frilled bra
搁板文胸	shelf bra
运动文胸	sports bra
无肩带文胸	strapless bra
训练文胸	training bra
前系带文胸	front-tie bra
	
	
内裤s	panties
没内裤	no panties
没内裤及下衣	bottomless
c子裤	c-string
无裆内裤	crotchless panties
无带内裤	strapless bottom
低腰内裤	loose panties
高腰内裤	micro panties
蝴蝶结内裤	bow panties
褶边内裤	frilled panties
侧领内裤	side-tie panties
带状内裤	string panties
	
	
衬衫s	blouse
褶边衬衫	frilled shirt
无袖衬衫	sleeveless shirt
紧身胸衣	bustier
露脐上衣	crop top
吊带背心	camisole
羊毛衫	cardigan
开襟背心	cardigan vest
外套	coat
冬季外套	duffel coat
毛皮外套	fur coat
毛皮边饰外套	fur-trimmed coat
长外套	long coat
大衣	overcoat
仅有袖子与衣领	shrug (clothing)
雨衣s	raincoat
透明雨衣	transparent raincoat
风衣	trench coat
冬衣	winter coat
紧身衬衫	compression shirt
紧身胸衣	corset
连衣裙	dress
连帽衫	hoodie
夹克	jacket
西装外套	blazer
暴走族夹克	sukajan
风衣	trench coat
雨披	poncho
饰带	sash
肩部腰带	shoulder sash
牧师披肩	stole
衬衫	shirt
有领衬衫	collared shirt
正装衬衫	dress shirt
露肩衬衫	off-shoulder shirt
条纹衬衫	striped shirt
T恤	t-shirt
外套	surcoat
毛衣	sweater
套衫	pullover
高领毛衣	turtleneck
无袖高领毛衣	sleeveless turtleneck
毛衣连衣裙	sweater dress
燕尾服	tailcoat
直筒式	tube top
背心	vest
毛衣背心	sweater vest
背心外套	waistcoat
	
	
	
	
	
灯笼裤	bloomers
运动裤	buruma
皮套裤	chaps
裤子	pants
喇叭裤	bell-bottoms
卡普里裤	capri pants
分离裤	detached pants
牛仔裤	jeans
隔断牛仔裤	cutoff jeans
低胸裤	lowleg pants
裆部垂布	pelvic curtain
衬裙	petticoat
腰间布	sarong
短裤	shorts
自行车短裤	bike shorts
牛仔短裤	denim shorts
海豚短裤	dolphin shorts
健身短裤	gym shorts
低腰短裤	lowleg shorts
微型短裤	micro shorts
短短裤	short shorts
裙子下的短裤	shorts under skirt
裙子	skirt
泡泡裙	bubble skirt
高腰半身裙	high-waist skirt
高低半身裙	high-low skirt
长裙	long skirt
低腰裙	lowleg skirt
超短裙	microskirt
迷你裙	miniskirt
背带裙	overall skirt
格纹半身裙	plaid skirt
褶裥半身裙	pleated skirt
吊带裙	suspender skirt
	
	
角	horns
恶魔角	demon horns
鬼角	oni horns
龙角	dragon horns
牛角	cow horns
假角	fake horns
火热的角	fiery horns
发光的角	glowing horns
长颈鹿角	giraffe horns
山羊角	goat horns
渐变角	gradient horns
发角	hair horns
巨大的角	huge horns
低位置角	low horns
机械角	mechanical horns
卷曲的角	curled horns
羊角	sheep horns
皮肤覆盖的角	skin-covered horns
	
	
翅膀	wings
天使翅膀	Angel wings
蝙蝠翅膀	Bat wings
龙之翼	Dragon wings
仙女翅膀	Fairy wings
恶魔之翼	Demon wings
冰翅	Ice wings
小翅膀	mini wings
大翅膀	large wings
尾巴	tail
猫尾巴	Cat tail
兔子尾巴	Rabbit tail
狐狸尾巴	Fox tail
恶魔尾巴	Demon tail
马尾	Horse tail
龙尾	Dragon tail
虎尾	Tiger tail
牛尾巴	Cow tail
狗尾巴	Dog tail
貂尾巴	Ermine tail
鹿尾巴	Deer tail
豹尾巴	Leopard tail
狮子尾巴	Lion tail
猴子尾巴	Monkey tail
鼠尾巴	Mouse tail
猪尾巴	Pig tail
羊尾巴	Sheep tail
松鼠尾巴	Squirrel tail
熊尾巴	Bear tail
狼尾巴	Wolf tail
鱼尾	Fish tail
蝎子尾巴	Scorpion tail
蛇尾巴	Snake tail
鬼尾巴	Ghost tail
皮卡丘尾巴	Pikachu tail
	
	
精灵	elf
黑暗精灵	dark elf
天使	Angel
僵尸娘	zombie
幽灵娘	ghost
鬼娘	oni
机娘	android
人形机器人	humanoid robot
魔法少女	magical girl
恶魔娘	demon girl
怪物娘	monster girl
猫娘	cat girl
狐娘	fox girl
马娘	horse girl
龙娘	dragon girl
兔娘	rabbit girl
犬娘	dog girl
狼女	wolf girl
奶牛娘	cow girl
乌贼娘	inkling girl
人外娘	mouse girl
史莱姆娘	slime girl
美人鱼	mermaid
章鱼娘	scylla
植物娘	plant girl
机甲娘	mecha musume
蜂娘	bee girl
半人马娘	centaur
哈比娘	harpy
蛇娘	lamia
虫娘	arthropod girl
无头骑士	dullahan
狮子女孩	lion girl
老虎女孩	tiger girl
浣熊女孩	raccoon girl
鲨鱼女孩	shark girl
花骑士	flower knight girl
	
	
	
袜子s	socks
及膝袜	kneehighs
过膝袜	over-kneehighs
大腿袜s	thighhighs
连裤袜s	legwear
连裤袜	pantyhose
打底裤s	leggings
吊带袜	garter straps
大腿带	thigh strap
大腿环	thighlet
脚镯	anklet
花边袜	bobby socks
裸足	barefoot
高跟鞋	high heels
高跟靴	high heel boots
及膝靴	knee boots
过膝靴	thigh boots
靴子	boots
运动鞋	sneakers
平底鞋	flats
雨鞋	rubber boots
小皮鞋	mary janes
凉鞋	sandals
拖鞋	slippers
	
	
光泽的皮肤	shiny skin
勒肉	skindentation
乳头凸起	covered nipples
覆盖肚脐	covered navel
不现实的紧身服装	impossible clothes
不现实的紧身衣	impossible bodysuit 
紧贴皮肤	skin tight
敞开的衣服	open clothes
撕裂的衣服	torn clothes
湿的衣服	wet clothes
暴露的衣服	revealing clothes
闪亮的衣服	shiny clothes
多色衣服	multicolored clothes
流汗	sweat

低分辨率	lowres
低质量	low quality
最差质量	worst quality

身体长	longbody
长颈	long neck
错误手部	bad hands
解剖不良	bad anatomy
裁切不正	cropped
不适合公开场合出现的图	nsfw
变异的手和手指	mutated hands and fingers
畸形的	deformed
毁容	disfigured
脸部画得不好	poorly drawn face
变异的	mutated
多余的肢体	extra limb
丑陋	ugly
手部画得很差	poorly drawn hands
缺少的肢体	missing limb
漂浮的四肢	loating limbs
肢体不连贯	disconnected limbs
畸形的手	malformed hands
脱离焦点	out of focus


杰作	masterpiece
最高质量	best quality

红	red
棕	brown
橙	orange
黄	yellow
緑	green
蓝	blue
紫	purple
粉	pink
	
黑	black
灰	gray
白	white
	
金	gold
银	silver
透明	transparent
